harmonic_1_normalized_amplitude,harmonic_2_normalized_amplitude,harmonic_3_normalized_amplitude,harmonic_4_normalized_amplitude,harmonic_5_normalized_amplitude,phoneme_sound_class
-0.64431155,0.15363212,2.1188757,-1.2757202,-0.899522,0.0
-0.55920607,1.2375216,-1.2500421,-0.15343684,-0.316529,0.0
-0.32105806,1.5751116,-0.013761729,-1.0320266,-0.2966019,0.0
0.2148281,0.06943918,-0.40809685,-0.34581253,-0.30513188,0.0
1.0132731,1.3245335,-1.2614094,-0.6845747,0.078056656,0.0
0.97529227,0.5259535,-1.1046274,-0.49273854,0.018386802,0.0
-0.30889457,2.2591772,-1.4231472,-0.8274093,-0.69228137,0.0
-0.5091358,-0.68261683,0.94217205,0.65081435,1.2954979,1.0
-0.482805,-0.43503743,-0.35079047,0.8981278,1.2373219,1.0
1.1173543,0.60732365,-1.2328513,-0.71519816,-0.22277653,0.0
3.063094,-1.8152553,-0.63478845,-0.44722652,-0.038316064,0.0
-0.3548643,1.9004983,-1.4334679,-0.8591041,-0.3960332,0.0
-0.8046446,-0.24495445,1.3393725,-1.3565669,-1.1533139,0.0
-0.17135768,0.80893075,-1.3405716,-0.19576755,-0.35190517,0.0
1.9588232,-0.6919744,-0.9838364,-0.42639503,-0.15664986,0.0
0.18366838,0.8182787,-1.0912282,-0.5422965,-0.42787778,0.0
3.0806963,-1.6965483,-0.24770415,-0.15171547,-0.42894372,0.0
-0.77944934,-0.41304198,1.7456459,-1.4567807,-1.2202532,0.0
-0.7272728,0.7363033,0.38497582,0.42121944,-0.64013845,0.0
-0.7801461,-0.40742233,-0.1705271,1.7865255,1.7769556,1.0
-0.6878133,-0.67696494,0.9321446,1.1053813,1.878054,1.0
-0.25311732,1.7002333,0.3710701,-0.061131094,-0.40430278,0.0
0.10624851,-0.31389973,0.21418197,-0.03240142,0.3032984,0.0
1.8292617,-0.9191325,-0.5993563,-0.33517182,0.013824346,0.0
-0.3772131,-0.20091094,0.31248388,1.973027,-0.26957422,1.0
-0.78711957,2.3221056,-1.4736807,1.0185276,-0.71422184,0.0
1.2006928,1.4274821,-1.1044693,-0.09447247,-0.53196824,0.0
3.5207896,-1.9424535,-0.6913362,-0.6256213,-0.2605049,0.0
-0.7133437,-0.46758053,1.3636357,0.7426209,-0.62923795,0.0
-0.39870307,-0.15179643,1.1833591,-0.9390603,-0.40305993,0.0
-0.29233688,0.22618316,1.4744412,-1.1575037,-0.90294266,1.0
-0.58357024,-1.0403388,-0.17745732,2.3533807,-1.3750625,0.0
-0.41054884,2.011727,0.3103257,0.14893487,-0.09386305,0.0
0.2564355,1.2365876,0.3235511,-1.037937,-0.3576077,1.0
-0.7669394,-1.0001569,-0.019811215,0.728157,-0.15858884,1.0
-0.4418645,0.55692226,-0.07353757,-0.00022697193,-0.40444532,0.0
1.5816587,0.22904353,-0.1569468,-0.8023923,0.19472663,0.0
-0.41215858,0.14332034,1.4804709,1.0800978,-1.2233593,1.0
0.27248308,-0.6863511,-0.97796136,-0.4884179,-0.18073705,0.0
-0.50475764,1.927368,-1.4269711,-0.09897017,0.09810013,0.0
-0.3471809,-0.93353975,0.29355824,0.9893961,0.9456862,0.0
-0.55897635,0.6810708,0.746728,0.24341881,-0.4804831,0.0
-0.4764952,1.0416441,-1.2310116,-0.31965956,0.17003824,0.0
1.8850021,-0.088372454,-1.1375974,-0.59546506,-0.17701821,0.0
-0.27504686,0.16448732,0.85252875,-1.0699528,-0.5674723,1.0
-0.65989304,-0.9292055,-0.4373812,1.1517107,1.2117708,1.0
-0.23795621,1.3630666,-1.1337706,-0.16968921,1.8950877,0.0
-0.89985806,-0.9955072,-0.3090821,0.85159504,1.4323517,0.0
-0.6851239,-0.22199816,1.8126981,0.7540083,-1.0066404,0.0
-0.77263063,-0.4529242,1.2805892,-1.1305169,-0.5796265,0.0
-0.5688368,0.31070077,-0.24959207,-0.23993237,-0.26340595,0.0
0.49334142,-0.16958949,-1.0890089,-0.53076804,-0.18910143,0.0
-0.7751618,-0.6916733,0.18374495,1.11387,-1.4020301,1.0
-0.6886452,0.23147242,0.40931654,-0.01814849,-1.0463595,0.0
-0.46868572,-0.5331243,0.13486502,1.1966743,-0.116708755,1.0
-0.48041627,-0.10633303,2.060719,-1.3971384,-0.6104194,0.0
-0.5803037,-0.43648356,0.25021493,1.7334282,-1.2957463,1.0
-0.92431283,-0.67335314,0.046276763,2.080492,-0.13258724,1.0
-0.58992153,-0.39974043,1.742735,-1.4920797,1.8229483,1.0
-0.7864887,-0.61416703,0.06982611,1.6426378,-0.18959925,1.0
-0.20069481,-0.6987931,-0.18554233,2.0212717,-1.1778051,1.0
2.8626246,-1.9034029,-0.69069505,-0.410827,-0.10519931,0.0
2.4956777,-1.9939348,-0.6760891,-0.3265954,0.07876548,0.0
2.6659136,-0.81897044,-0.7076418,-0.5146416,-0.11164558,0.0
0.7727288,1.0176053,-1.0779089,-0.8245104,1.2674081,0.0
-1.0774691,-0.97064745,0.43815872,-0.49241155,-0.08015534,0.0
-0.06290517,-0.5254922,1.255456,1.3753433,-1.5287508,1.0
-0.13411435,-0.9797464,0.76832473,0.14918014,1.0318661,1.0
2.4230845,-0.9471903,0.5380132,-0.8356985,-0.4517023,0.0
-0.26044017,-0.02193854,0.72825724,0.6380294,2.21077,1.0
1.7027042,-0.8014663,-0.7025871,-0.36528033,0.030571025,0.0
-0.45495436,-0.25365064,0.122970864,1.0475248,-1.1436926,1.0
1.5530767,0.9696953,-1.2571757,-0.7322649,-0.29139784,0.0
0.57131857,1.7672956,0.09152336,-0.8411197,-0.4041,0.0
0.52992845,-0.39649275,-0.99734086,-0.5299891,-0.3106334,0.0
2.2571847,-1.0625707,-0.7103076,-0.30897942,-0.3226944,0.0
-0.40557197,0.37964898,1.7046367,-1.5246286,-0.09799687,0.0
2.6464543,-0.42704254,-0.18300463,0.50171256,-0.5915289,0.0
-0.32978576,-0.5021824,1.3635548,-1.2362161,-1.2341077,1.0
2.7445114,-0.9077365,-0.6480418,-0.5651405,-0.22075003,0.0
-0.576214,1.5046709,0.5807007,0.32569134,-0.1357507,0.0
-0.7108097,-0.73344445,-0.41052893,-1.4774264,-0.00069341785,1.0
0.29979873,0.74585956,-0.9968891,-0.52277416,-0.42717063,0.0
1.8148056,0.03251026,-1.0635444,-0.43575323,0.33152583,0.0
2.5479507,-0.7770504,-0.99649334,-0.39287764,-0.2037415,0.0
-0.713298,-0.74775904,0.3148203,0.9762391,-1.2483009,1.0
-0.567039,-0.33810815,1.7970159,-1.3867146,-0.8012762,0.0
-0.675819,-0.039054394,1.7263039,-1.3889507,-0.868119,0.0
-0.53138417,1.6687387,-1.4286087,-0.20280969,0.117757276,0.0
0.8759802,1.2943786,-1.2638701,-0.2320568,0.15462466,0.0
-0.4564038,-0.1282532,1.2503986,1.133674,1.8095596,1.0
1.5742706,0.042841222,-0.9260847,-0.24660255,0.03217967,0.0
-0.56499696,-0.84620655,-0.1308968,1.2273132,-0.23684557,0.0
-0.6675324,-0.6804116,0.07332134,2.145662,-1.9369267,1.0
-0.59503883,0.8455818,-1.3055761,-0.76812565,-0.4439718,0.0
-0.73478645,-0.38707137,1.6313478,-1.4583898,-1.1184224,0.0
-0.07558683,1.5034375,0.803003,-1.1271096,-0.5778898,0.0
-0.512614,0.5932556,-1.2409289,-0.6997489,-0.32992736,0.0
0.66682416,1.862485,-0.07044433,-0.7947512,-0.42438322,0.0
0.6775025,0.042250514,1.3594869,-1.288013,-0.7650995,1.0
0.01625058,1.1858819,-1.2688364,-0.7870362,-0.23335478,0.0
-0.60105795,2.3064842,-1.524135,-0.0654152,0.13085791,0.0
-0.5859748,-0.7800408,0.8260085,0.54693294,1.1952025,1.0
-0.951622,-1.174184,-0.40421915,-1.3497645,3.5566595,0.0
-0.16598274,0.4955272,0.37110496,-1.1680317,-0.46666673,1.0
0.6190638,0.9423378,1.0614519,-0.8461071,-0.40546757,1.0
-0.69999325,0.9844133,0.38890657,0.28464663,-0.07497847,0.0
-0.47232735,-0.69142836,1.2347349,-1.310612,0.64443004,1.0
-0.8683439,-0.94025594,-0.36961323,0.467671,-0.027127692,0.0
-0.4325167,1.3961796,0.749817,0.10322806,-0.5111742,0.0
2.6777124,-0.9835382,-1.0025339,-0.37987652,-0.23043835,0.0
-0.0052956855,1.8340385,0.06016775,0.39004794,-0.7504517,1.0
-0.24099994,0.52181375,0.20664966,-0.09546812,0.056716863,0.0
-0.69069314,-0.29834172,2.333567,-1.5545001,0.6319566,0.0
-0.7064633,-0.42981273,0.109291404,1.9529222,-1.5064763,1.0
-0.5169954,-0.5794049,1.8048713,1.060226,-0.8101328,0.0
-0.8185095,-0.29484615,1.7447864,0.69809985,-0.6839256,0.0
0.87566215,-0.44835356,-0.3267421,-0.7581119,-0.24607016,0.0
-0.32191417,1.2288833,0.6671921,0.7361364,-0.7221518,1.0
-0.6504872,-0.59133667,0.4501862,2.077492,-1.195314,0.0
-0.054397322,1.4333664,0.9467254,0.3678402,-0.42531204,1.0
-0.5649077,-0.8394975,1.4819313,0.4161868,1.1180662,1.0
-0.73122877,0.65794057,0.09270059,0.06769326,-0.5114243,0.0
-0.49257374,0.057650555,0.7269095,0.16852903,0.32332855,0.0
1.391507,0.12522879,-0.48484972,-0.2950522,-0.37792936,0.0
-0.27320495,-0.6946716,0.8493307,0.88240176,1.0790453,1.0
-0.15831693,2.024933,-1.0583116,0.93556005,-0.6757407,0.0
-0.7630181,-0.66371465,0.5789801,2.2669456,-1.2425413,0.0
