harmonic_1_normalized_amplitude,harmonic_2_normalized_amplitude,harmonic_3_normalized_amplitude,harmonic_4_normalized_amplitude,harmonic_5_normalized_amplitude,phoneme_sound_class
-0.53022534,0.55168384,1.378053,-1.4620273,-0.65982103,0.0
2.1790435,-1.6061041,-0.5567373,-0.31660622,-0.44108695,0.0
-0.29674384,-0.8233284,0.9628133,0.1767087,0.867556,1.0
-0.12691088,1.2646148,0.61506146,0.38462496,1.2206373,1.0
0.6618185,-0.14674418,1.3734506,0.21537659,0.4249149,0.0
1.2179528,-0.67974716,-0.661355,-0.32784358,-0.3819852,0.0
-0.22376215,2.3417253,-1.4759165,-0.119350106,0.25781733,0.0
-0.58354944,-0.7726738,0.8701981,0.45139676,1.0637795,1.0
-0.82010955,-0.0059762867,1.3097929,-1.103549,-0.1504617,0.0
-0.57794267,-0.24055721,0.4773127,0.6245915,3.3183932,1.0
0.574769,0.67549807,-1.2562245,-0.015519619,2.1189487,0.0
2.2661161,-0.6528258,0.66595745,-0.87786406,-0.2818885,0.0
0.50314504,1.346641,-1.4661891,-0.056156196,0.18742524,0.0
1.9966478,-0.21720523,-0.13525145,0.59653515,0.21344323,0.0
1.429455,-0.39289695,-0.54365224,-0.33794686,0.14378893,0.0
-0.68266344,-0.40475062,1.0730641,-1.6702367,2.5018163,1.0
-0.5600972,-0.28823552,0.20137225,1.1430777,-0.14447369,1.0
-0.6638926,-1.001325,-0.098150656,2.23061,-1.2601407,0.0
-0.66101915,0.18630359,0.9389416,-1.0631804,-0.4821568,0.0
-0.62085694,0.5103672,-0.09301822,-0.055077937,-0.38638905,0.0
2.5598257,-0.35496813,0.09950146,-0.62884176,-0.34768838,0.0
-0.7126787,-0.88290334,-0.22067377,1.0542289,-0.16643174,1.0
0.3162538,0.6490087,-1.0449367,-0.8212198,2.9606721,0.0
1.9376801,-1.1791347,-0.4654026,-0.18142344,-0.26372737,0.0
-0.5975032,-0.73141056,-0.069107816,0.7135243,1.7849563,0.0
-0.18960524,1.4407419,0.9986473,0.49846587,-0.6352445,1.0
-0.018210433,0.3594991,1.1966294,0.41720495,1.9760821,1.0
-0.10970622,1.4099509,-1.449552,-0.6355633,-0.36506715,0.0
