v1,v2,v3,v4,class
-0.5922017,1.443492,1.6235292,2.0222113,0.0
3.4542832,-0.7637668,-0.79712206,0.15001792,0.0
0.5256229,-0.48235962,-0.5048664,-0.36310345,0.0
0.17862915,-0.08610391,-0.18699121,0.14973746,0.0
-0.79758674,-0.19702755,-0.03274642,0.9561167,0.0
1.3846587,0.12614879,0.02101128,2.143376,0.0
-0.5931909,-0.7404704,-0.62823707,0.6137695,0.0
-0.67045885,-0.37624013,-0.20881179,-0.62822807,0.0
0.5439448,-0.33221152,-0.23325066,0.10857174,0.0
-0.9603881,1.681466,1.8437722,1.2107093,0.0
-0.92428374,-0.7280505,-0.6782227,-1.0682073,0.0
0.43927926,-0.72508764,-0.62763315,-0.92793155,0.0
-0.75039357,-0.2759288,-0.3800594,0.24404581,1.0
1.3695511,-0.8362132,-0.81792235,-0.57856226,0.0
-0.7352289,-0.17973599,-0.034077637,-0.30868575,0.0
-0.73269004,-0.7956369,-0.7992814,-1.2579094,1.0
-0.826413,0.04128138,0.057500996,0.014600234,1.0
-0.64781564,-0.89141744,-0.8660978,-1.4436615,0.0
0.7648289,-0.9145505,-0.7875474,-0.88188195,0.0
0.5740661,-0.5465875,-0.42084083,0.18895446,0.0
1.3723722,-0.0038342096,0.12487802,0.5397504,0.0
-1.0234368,-0.109680414,-0.17918369,-0.42803815,0.0
0.16305035,0.4933673,0.38633615,0.6001606,1.0
0.38288674,-0.67469496,-0.60953915,-0.08949881,1.0
7.3471966,-0.87941134,-0.7724375,1.4326165,0.0
-0.8638368,-0.87057585,-0.7841123,-1.431427,0.0
0.42264533,-0.5562808,-0.4239563,-0.70299506,1.0
-0.9657743,0.511389,0.72984636,1.7089795,0.0
-0.9342533,0.12481609,-0.041129958,-0.30260193,0.0
0.5282587,-0.40887275,-0.56991285,-0.15154871,0.0
1.3904452,-0.80739117,-0.9026425,-0.5614187,0.0
0.25848064,1.2004093,1.1015179,0.86197704,0.0
-0.9359039,-0.7506359,-0.6185515,-0.94358766,0.0
1.5758713,-0.8991711,-0.78741616,-0.57253486,0.0
-0.9780917,-0.4977309,-0.5254682,1.6813793,0.0
0.111684345,-0.6060911,-0.73373485,0.1406782,1.0
0.11426532,-0.7667119,-0.94539326,-0.9953441,0.0
0.7669114,-0.8047073,-0.930505,-0.86373985,0.0
1.40996,-0.5440769,-0.41975105,0.03346092,0.0
0.6434622,-0.046653435,-0.18285085,-0.035915058,0.0
1.5903741,-0.27946067,-0.39778006,0.6644205,0.0
1.3783871,-0.43216565,-0.5284196,0.035532657,0.0
