v1,v2,v3,v4,class
1.6285193,-0.31686962,-0.6443191,0.09884311,0.0
-0.7469739,-0.7367673,-0.86802405,-1.2413672,0.0
-0.51496595,-0.7492899,-0.86247057,-1.377253,0.0
-0.41263023,0.5242426,0.36872613,-0.041775506,1.0
0.008027307,3.5046074,3.404215,1.2959024,0.0
-0.6483193,0.046682026,-0.30815265,-0.91938233,1.0
1.5557061,1.5770731,1.7284081,2.2368653,0.0
-0.53991264,-0.55711377,-0.6321911,0.5078644,0.0
0.62010384,-0.57145864,-0.3649149,0.49257556,0.0
0.57182664,-0.57944125,-0.5984317,-0.28101933,0.0
0.5741519,-0.38343382,-0.53897285,0.10615182,0.0
-1.0868676,0.7789951,0.85886014,-0.29404742,1.0
0.58418894,0.29802972,0.2451968,0.17479208,0.0
1.5745775,-0.89892167,-0.82934123,-0.5660903,0.0
0.5683595,-0.7201684,-0.58027154,-0.27489203,0.0
0.0064096455,-0.3387603,-0.62396914,-0.91267896,0.0
-0.70512444,-0.8396039,-0.9698287,-1.1889496,0.0
-0.5811532,-0.120526634,-0.15908584,-0.8282354,1.0
-0.4855603,-0.45482507,-0.32498702,0.05264773,1.0
-0.92776287,1.1161857,1.1802264,1.8528373,0.0
-0.5722555,2.0222,2.0142496,1.1944042,1.0
0.57398695,-0.5937086,-0.8063162,-0.91981536,0.0
-0.89744943,0.19638914,0.39506006,0.6768821,1.0
1.6054621,-0.34511828,-0.28766033,-0.10024649,0.0
0.65594864,1.123018,1.089035,0.6508211,0.0
-0.62743825,-0.193568,-0.00972535,-1.016618,1.0
-0.93888193,-0.59555227,-0.46815178,-0.37921458,0.0
-0.89578587,0.102415234,0.011850878,-0.2758835,0.0
0.6174997,-0.93760633,-0.8365352,-0.9205563,0.0
-1.0361295,-0.942035,-0.91831386,-1.1659912,0.0
-0.99083006,-0.42390066,-0.46325898,-0.36450875,0.0
-0.0040207393,0.73032343,0.503712,0.24824046,0.0
