v1,v2,v3,v4,class
-0.5653269,0.5769024,0.6460502,0.8555169,0.0
-1.123104,-0.47963735,-0.49716815,1.3987141,1.0
0.7514072,-0.56007993,-0.44943196,-0.61432433,0.0
0.4449468,-0.69246036,-0.7240398,-0.70057815,0.0
0.10926039,-0.818231,-0.89091104,-0.9224393,0.0
-0.55844516,-0.12454037,-0.16358441,0.1771117,0.0
-0.92546743,-0.86916983,-0.9364613,-1.1633904,0.0
-0.5729542,-0.023844508,0.10870315,-0.6355565,0.0
0.18601294,-0.34919515,-0.2397424,1.1127527,0.0
0.024384003,-0.60439533,-0.67986256,-0.16612574,1.0
0.44876543,0.6422381,0.2621966,0.33304065,1.0
-0.21982904,-0.5169961,-0.38710776,-0.2077621,0.0
-0.8655432,1.0243852,0.9491169,2.2384295,0.0
1.4594805,-0.68758523,-0.73971015,-0.34903297,0.0
0.6019989,-0.44417846,-0.50671536,0.82391757,0.0
1.7169982,0.31854895,0.20416799,2.1376233,0.0
-0.7245882,-0.0677701,-0.13823426,-0.9900831,1.0
-0.6503118,-0.80473286,-0.56109464,-1.2284868,0.0
-0.75045586,-0.4292701,-0.20202944,-0.34244418,0.0
0.33994982,-0.43281665,-0.57474273,-0.34086788,0.0
1.5973909,-0.19800586,-0.06821654,-0.099798635,0.0
-0.589515,-0.6193845,-0.3779,-0.168818,0.0
1.5840576,-0.78657216,-0.91887534,-0.5512448,0.0
-0.73855835,1.2351795,1.1153728,-0.2579194,1.0
-0.9689583,1.2320336,1.174231,1.253353,1.0
0.5438431,-0.6905091,-0.7051076,-0.9224561,0.0
0.7403501,-0.43025032,-0.5655205,0.83098197,0.0
0.75129724,-0.9027663,-0.86253196,-0.72388047,0.0
-0.7616146,1.9659772,1.9159575,1.557858,0.0
-0.9131899,-0.18353583,-0.11101145,0.1390351,0.0
-0.6500984,-0.6013536,-0.6840283,-1.5276216,1.0
-0.7618216,0.5707586,0.6654242,-0.4630097,1.0
