v1,v2,v3,v4,class
1.6890032,0.5017021,0.37449074,1.1333284,0.0
0.10234281,-0.8322823,-0.80838734,-1.0231457,0.0
-0.8919058,-0.91049755,-0.7854224,-1.3416555,0.0
-0.7441746,5.1920195,5.038201,2.505172,1.0
-0.78024554,-0.79268664,-0.9419391,-1.4455512,1.0
-0.90845805,1.1381797,1.1937144,0.48280704,1.0
-1.01445,0.31601906,0.2006008,1.7830265,0.0
-0.63984126,-0.8840715,-0.8833169,-1.2350104,0.0
0.45204335,-0.75349563,-0.63345987,-0.8155126,0.0
-0.28053758,0.43175563,0.4518904,0.6316231,1.0
-0.72898066,-0.7029688,-0.62207776,0.6444283,0.0
1.4769883,-0.8465375,-0.831241,-0.77446204,1.0
0.5263083,-0.473723,-0.54518497,-0.22731909,0.0
-0.74478155,-0.70484406,-0.67753816,-1.191801,0.0
-0.96397,-0.5103313,-0.5158641,-0.910086,0.0
1.3135788,0.0038856,0.13466223,0.58359605,0.0
0.56697446,-0.5499496,-0.47073916,0.23878086,0.0
0.7806629,0.10186293,0.016085228,0.60067874,0.0
-1.0140518,-0.95569426,-0.8419196,-1.3585378,0.0
-0.12500358,0.5626811,0.71485883,1.2298452,0.0
-0.8477145,-0.57942927,-0.4307784,-0.21690391,0.0
0.91023123,-0.81718045,-0.93155384,-0.8284916,0.0
0.27445558,0.6415982,0.6123198,0.10797228,0.0
-0.59332246,-0.2366649,0.00069503824,-0.17826591,0.0
-0.6146769,1.610897,1.5414027,2.059499,0.0
-0.6365634,-0.8266673,-0.9331402,-1.2102957,0.0
0.17943631,-0.10703424,-0.17531434,0.2086408,0.0
0.5391435,-0.3168295,-0.25487876,-0.36262265,1.0
-0.10105429,-0.4883004,-0.7398869,-1.0288644,1.0
-1.2108334,1.3098388,1.3714579,-0.33939302,1.0
1.3441399,-0.8417104,-0.90568364,-0.6598611,0.0
0.09737885,-0.2805358,-0.36245108,-0.37359908,0.0
