word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_addresses,word_freq_free,word_freq_business,word_freq_email,word_freq_you,word_freq_credit,word_freq_your,word_freq_font,word_freq_000,word_freq_money,word_freq_hp,word_freq_hpl,word_freq_george,word_freq_650,word_freq_lab,word_freq_labs,word_freq_telnet,word_freq_857,word_freq_data,word_freq_415,word_freq_85,word_freq_technology,word_freq_1999,word_freq_parts,word_freq_pm,word_freq_direct,word_freq_cs,word_freq_meeting,word_freq_original,word_freq_project,word_freq_re,word_freq_edu,word_freq_table,word_freq_conference,char_freq_semicolon,char_freq_parenthesis_left,char_freq_bracket_left,char_freq_exclamation,char_freq_dollar,char_freq_hash,capital_run_length_average,capital_run_length_longest,capital_run_length_total,is_spam
-0.27252752,-0.20987567,-0.012312443,-0.04367101,-0.030199507,-0.3629627,-0.30478814,-0.34404266,-0.29606214,-0.47561553,-0.19486201,1.7272352,-0.18845423,-0.14066553,-0.12204333,-0.30683208,-0.43298373,-0.28500313,-0.84439427,-0.06894329,-0.75320446,-0.121845335,-0.3660068,-0.1930199,-0.3235034,-0.35426664,-0.31870484,-0.24511723,-0.17961085,-0.2516184,-0.08654604,-0.08045214,-0.15142289,-0.06075286,0.29040045,-0.2483997,1.0747398,-0.0951469,-0.25242895,-0.22749837,-0.030577352,-0.11574973,-0.13762856,-0.2516947,-0.30521673,-0.13747093,-0.090378076,-0.04029505,-0.17015122,0.27341768,-0.12363873,-0.37291774,-0.32201138,-0.21876393,-0.06443651,-0.18128213,-0.22753735,0.0
1.7431561,-0.19929951,-0.48816627,-0.04367101,-0.53238124,-0.28733796,-0.31735575,-0.2400943,-0.3540575,-0.4732711,-0.22597945,-0.6383396,-0.2589917,-0.22305615,-0.18630907,-0.34972426,-0.39072627,-0.30616435,-0.11321347,-0.12391335,-0.24836594,-0.121845335,-0.27159706,-0.16350053,-0.27627003,-0.37987548,-0.20121673,-0.1898177,-0.21195531,-0.16417761,-0.12046114,-0.24610636,-0.10418897,-0.11063756,-0.2825618,-0.21605456,-0.25362036,-0.12477713,-0.119273506,-0.22143775,0.046817895,-0.20704648,-0.25998327,-0.10324879,-0.16313651,-0.24497198,-0.059839122,-0.15136845,-0.19210789,-0.5982632,-0.16477472,-0.29126224,-0.3082772,-0.03159667,-0.06383154,-0.05274469,-0.3539726,0.0
-0.2813356,-0.23076652,2.1063654,-0.04367101,-0.41801015,-0.25824207,-0.30886757,-0.36497018,-0.3357208,-0.35108614,-0.3755052,2.2908466,-0.3716347,-0.1092011,-0.18698783,-0.24002826,-0.28338647,2.0008197,-0.9567412,-0.14922735,-0.62500644,-0.121845335,-0.2298498,-0.31542575,1.0320894,1.0863345,-0.17444809,1.9942758,-0.083801925,2.7283669,2.8118842,-0.19360676,-0.07466175,-0.12822568,1.9294515,2.801842,8.914106,0.008800615,-0.09601684,-0.20097594,-0.13815399,-0.20241956,-0.3318823,-0.120239735,-0.3239519,-0.12155037,-0.045628786,-0.17480281,-0.19280697,0.049634058,-0.21491155,-0.1515083,-0.2642973,-0.17708012,-0.16398771,-0.11433717,-0.45444947,0.0
-0.38263008,-0.16786425,-0.21005626,-0.04367101,-0.26391417,0.26305163,-0.23704167,-0.2592678,-0.3018118,0.026681414,-0.431954,-0.06271158,-0.2594482,-0.09951458,-0.18103342,-0.193645,-0.35421464,0.32352075,-0.05382153,-0.16670105,0.093721345,-0.121845335,-0.2763916,-0.16336055,1.3165638,1.3954812,-0.037629854,0.7425541,0.11174293,2.1311438,0.25679383,0.4508042,-0.28298655,0.4151552,0.8073776,0.72163236,0.64980435,0.026841776,-0.05622085,0.41906372,1.0932729,-0.15319788,1.6940848,-0.12859166,0.029367307,-0.17470208,-0.07200499,0.581121,-0.04968779,0.93149257,0.34625208,-0.29318637,-0.2539447,-0.028059576,-0.122574985,-0.099789456,0.35691568,0.0
-0.3282368,-0.116608694,-0.4806921,-0.04367101,-0.4158738,-0.34999442,-0.27092233,-0.27389082,-0.2743,-0.4281415,-0.3208889,-0.4986773,-0.35803872,-0.19419195,-0.20340887,4.602318,-0.25149286,-0.42153338,-0.9790282,-0.10056048,-0.6210714,-0.121845335,-0.3748435,-0.20605272,-0.42046824,-0.3850458,-0.14862373,-0.27778885,-0.17998649,-0.21574773,-0.19235079,-0.14326188,-0.21729179,-0.07002273,-0.22741832,-0.21494497,-0.31043628,39.78899,-0.21346457,-0.13091396,-0.061652053,-0.2745247,-0.25782666,-0.016834168,-0.1028,-0.140344,-0.14655387,-0.0355149,-0.22012009,-0.44926393,-0.04095829,-0.26750183,-0.30023468,-0.16119125,-0.23654625,-0.17813395,-0.57294726,0.0
-0.41137245,-0.03648492,-0.5762053,-0.04367101,-0.47222662,-0.2768652,-0.3452799,-0.31456658,-0.25474113,-0.33677262,-0.22726297,-0.6840695,-0.39933968,-0.15388754,-0.24096188,-0.38498658,-0.31600955,-0.3530362,-0.9304067,-0.08318898,-0.51518744,-0.121845335,-0.37625718,-0.18962799,-0.19968984,-0.3225566,-0.19871052,-0.27248815,-0.10862742,-0.2090828,-0.09295037,-0.17405789,-0.24068563,-0.20632702,-0.094363295,-0.26866138,2.869683,0.015822388,-0.18107827,-0.116785556,-0.051719096,-0.2816795,-0.2673145,-0.062125426,-0.35670617,0.6082974,-0.15482822,2.4156127,-0.1966495,-0.01790475,-0.16873741,-0.25409436,-0.31945288,-0.008433309,0.017337637,0.012610062,-0.19850928,0.0
-0.23912895,-0.22984612,-0.6101584,-0.04367101,-0.58323336,-0.30220538,-0.31296936,-0.25037992,-0.34461394,-0.5225026,-0.23792571,-0.7796432,-0.36153707,-0.14341272,-0.10704485,-0.31366107,-0.42954782,-0.32226434,0.104622744,-0.21960483,0.9880474,-0.121845335,-0.35584548,-0.13940167,-0.3017682,-0.08367036,-0.31532726,-0.15516202,-0.09851517,-0.22957823,-0.12397925,-0.16416268,-0.17155172,-0.15778401,-0.17302197,-0.2043305,4.2259555,0.024275886,-0.2259304,-0.12896319,-0.1704283,-0.23722874,-0.16339053,-0.0753523,-0.21161835,6.3158345,-0.114051744,-0.20065397,-0.22110632,0.54774886,-0.19237424,-0.1954943,-0.33402357,-0.24380018,-0.12873209,-0.25618795,-0.35110873,0.0
-0.4236331,-0.19707638,-0.625385,-0.04367101,-0.43487552,-0.44522426,-0.19032294,-0.2521369,-0.2595266,-0.41205874,-0.3378671,1.3537143,-0.3321021,-0.14569959,-0.21298398,-0.36606392,-0.30064484,-0.42783928,-0.99024653,-0.19047034,-0.61246115,-0.121845335,-0.31411743,-0.26743776,-0.35515103,-0.29999557,-0.27088797,-0.29541248,-0.23560707,-0.14055647,-0.0980613,-0.066097476,8.065582,-0.1948937,-0.31088862,-0.22373028,-0.3346825,-0.1080867,-0.25204086,-0.21426818,-0.15420924,-0.12461847,-0.26087806,11.49351,-0.32245755,-0.074367665,-0.10516404,-0.044890385,-0.18559797,-0.43172783,-0.05044413,-0.29317123,-0.26247513,-0.10045423,-0.090669334,-0.20393907,-0.5368191,0.0
0.30441043,-0.109053925,0.55190766,-0.04367101,1.4686776,-0.021520253,-0.24444564,-0.21450256,1.1634922,0.4814765,0.64318407,-0.021012902,1.0662849,-0.09409081,-0.18977916,-0.26051494,0.720659,-0.27791145,1.5239253,-0.24297123,0.91467994,-0.121845335,0.51236933,3.02945,-0.29126212,-0.2539905,-0.27177694,-0.28238067,-0.22003618,-0.09382894,-0.11089253,-0.067975536,-0.23972118,-0.18138649,-0.15458785,-0.26382378,-0.27253926,-0.097579636,-0.24939238,-0.117300265,-0.12078268,-0.12326457,-0.14068265,-0.14107019,-0.3944145,-0.20005113,-0.11694228,-0.16697404,-0.1462188,-0.35117224,-0.0693732,-0.115598865,11.622867,-0.07017208,0.055820394,0.6180569,1.4718945,1.0
-0.3706286,-0.11852008,-0.27451357,-0.04367101,-0.5323677,-0.4002694,0.15898363,-0.3888574,-0.3583418,-0.42062542,-0.3530318,-0.3091786,-0.35684964,-0.017830346,-0.12597407,-0.2851782,-0.26280254,-0.20915097,-0.7738102,-0.15270327,-0.6430816,-0.121845335,-0.28793937,-0.28390604,-0.37627104,-0.28312135,-0.18334363,-0.15461743,-0.09795259,-0.21262798,-0.18892215,-0.2003337,0.18568826,-0.117704846,-0.14579506,-0.16805041,-0.29842338,0.31830978,0.31235853,-0.21961644,-0.13396645,-0.14125519,-0.13312453,-0.18815894,-0.27735466,-0.22037904,1.0904621,-0.21470554,-0.16411094,-0.07289755,-0.09924869,-0.18456526,-0.19725329,-0.16193746,0.0021344335,0.051976316,1.4113115,1.0
