band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,band_32,band_33,band_34,band_35,class
-0.7522846,-0.885311,-0.8916265,-0.4360803,-1.0513114,-1.0928273,-0.775394,-0.4967228,-0.9932245,-1.360846,-0.9426997,-0.64004225,-0.32369965,-0.5839843,-0.66863567,-0.35210192,-0.4259532,-0.9124076,-0.42162332,-0.15223221,-0.50021714,-1.0348231,-0.726761,-0.3319071,-0.109337136,-0.2391214,-0.85350925,-0.43620542,0.045305513,-0.093705274,-0.66257745,-0.47902492,-0.060494483,-0.40467644,-0.6603361,-0.36129856,4.0
-1.8344928,-2.242028,0.57549876,2.9256828,-1.9958535,-2.2545629,0.8589647,2.9582133,-1.6358312,-2.3401737,0.84567714,2.8332717,-1.7116106,-2.2893715,0.6706541,2.4968066,-1.5404176,-2.1710944,0.5963453,2.5193205,-1.9702196,-2.1463823,0.90556705,2.274018,-1.1276605,-1.466559,0.27827337,1.7040061,-1.4351836,-1.9829096,0.87394404,2.2591586,-1.9182576,-2.1621504,1.0798151,2.4088817,1.0
-0.64829135,-1.0317522,-1.1790198,-0.8755466,-0.8129623,-1.2446108,-1.0038089,-0.47077075,-1.0353825,-1.5504246,-1.4348693,-0.95732886,-0.6813689,-0.98993963,-1.0299891,-0.6426535,-0.8962234,-1.0128094,-1.0953666,-0.5633072,-1.1015607,-1.3131039,-1.273975,-0.4421427,-0.6410153,-1.1152292,-0.9887462,-0.6626898,-0.71261823,-0.88384795,-0.8306408,-0.8436063,-0.94777846,-1.2855539,-1.3126565,-0.5649652,4.0
0.30120373,0.16820763,-0.9649127,-0.6785174,0.46285948,-0.027631138,-0.9764864,-0.7678253,0.28662315,0.17238866,-0.76141614,-0.6922518,0.52329016,-0.17257425,-0.80334276,-0.617714,-0.0060497615,-0.13716145,-0.5121828,-0.4767255,0.30833614,-0.28700203,-0.47724116,-0.60788465,0.7772251,0.22184616,-0.029787071,-0.5077889,0.2578331,-0.43070474,-0.6497868,-0.39069137,-0.2881675,-0.6279868,-0.6469414,-0.13362515,5.0
-0.26325178,1.325292,1.093759,0.62689996,-0.20691194,1.4470326,1.3109417,0.68519413,-0.10077782,1.2705245,1.0246975,0.6536672,-0.23303126,0.9242233,0.8713487,0.67197967,-0.45038933,1.1219778,1.1845231,0.4828688,-0.5465902,1.2903571,1.0056077,0.6789311,-0.42709514,0.91121966,1.2034029,0.54647934,-0.396721,1.2349058,1.2803973,0.77114004,-0.4623907,1.0301433,0.9334782,0.7021963,0.0
0.11671475,-0.2627548,-0.59846455,-0.5840434,0.20405962,-0.033780217,-0.7840574,-0.7661105,-0.23261264,-0.28254163,-1.1249872,-0.6600306,0.029459946,-0.20418823,-0.8996747,-0.86344045,0.15615658,-0.40172747,-0.7797334,-0.7610327,0.071471095,-0.32863125,-1.4372094,-1.1471097,0.09508787,-0.58750695,-1.6646702,-1.2353485,-0.38628104,-0.77096516,-1.890265,-1.1499541,-0.70519584,-0.948353,-1.884846,-1.4431709,5.0
1.6587595,1.4625965,0.9125251,0.35342482,1.936314,1.1198483,1.3093405,0.43185076,1.368276,1.1993891,0.99186707,0.1937452,1.7427024,1.1948432,0.6914341,0.1848526,1.3105499,0.9169574,0.3610302,0.11908836,1.0661123,1.0063709,0.24622208,-0.013582593,1.6683395,1.0136212,0.9317062,0.3155925,1.2980133,0.8423758,1.0073562,0.217515,1.5134474,0.77998275,0.52071,0.35084218,2.0
-0.27072713,1.187738,1.2802933,0.6493966,-0.26277158,1.0268649,1.1155671,0.79607075,0.1335825,1.3702321,1.1649554,0.59958327,-0.4365355,0.9639672,0.85331,0.5474034,-0.1493401,1.310049,1.2356755,0.773505,0.2694646,1.2420458,1.2399791,0.85886943,-0.3188258,0.7194288,1.1478101,0.6963763,-0.106873095,0.9136374,1.5229799,0.8634948,0.26228988,1.216761,1.395865,1.0627061,0.0
-0.008436421,-0.68372786,-0.06426173,0.29001787,-1.3073037,-1.9900502,0.9943324,2.451745,-1.7972442,-2.2030025,2.0843296,3.0092738,0.6413872,0.2340471,-0.49068055,-0.42847168,-0.42151913,-0.9812702,0.18640897,0.6792881,-1.3251992,-1.8848228,1.5601091,2.7677877,0.9531134,0.47271356,0.2853259,-0.0949824,1.0383053,0.8090323,0.026575146,0.070880845,0.6209796,0.12817489,-0.44876122,-0.14954771,1.0
1.8841236,1.2695061,0.7337741,0.52068037,1.938007,1.1127458,0.9462904,0.5042725,1.7601869,0.89175844,0.56191266,0.10806196,1.6174638,1.1954789,0.9080375,0.4877786,1.4771976,0.83890575,0.67986536,0.3576417,1.1777576,0.7856549,0.61514705,-0.022675795,0.97560054,0.8969675,0.17721055,-0.32484266,0.8669302,0.50922245,-0.26694825,-0.49232414,0.7077207,0.47485462,-0.008266175,-0.24260537,2.0
