REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN,class
-0.16838422,-0.29145327,0.0,-0.32652187,4.1367674,0.40795365,0.54871786,1.0592332,0.67143977,-0.73301136,-0.7069334,-0.7149029,-0.6992635,-0.025961274,-0.27506346,0.4793756,-0.81562716,1.1666431,-0.709823,2.0
1.5787792,0.7742426,0.0,-0.2762136,-0.24968717,-0.31909105,-0.08825865,0.11878392,-0.08794934,-0.4031455,-0.5239835,-0.8547886,-0.3754634,0.36866492,-1.3710855,2.0269833,-0.6672885,-0.13726334,2.3937507,3.0
-0.5866525,-1.8345057,0.0,-0.41686985,-0.21662383,-0.28111196,-0.15723427,-0.23851976,-0.21127632,2.3112166,2.3265638,2.3044598,2.4714944,-1.8795221,1.22911,-0.33062285,2.1993542,-0.9619997,-0.5789429,5.0
-0.33679608,1.7625966,0.0,-0.436382,-0.20450945,-0.32008156,-0.2113717,-0.43942285,-0.057738435,-0.56603837,-0.6021604,-0.82135266,-0.25784323,0.15852104,-1.267912,2.0233533,-0.6498651,0.1773677,2.5002108,3.0
-1.1076914,1.1165959,0.0,-0.47018373,-0.23839381,-0.02786187,-0.2838291,-0.37840623,-0.06223533,-0.10587324,-0.21509211,-0.12258781,-0.34720463,0.34318134,0.02838133,-0.2656792,-0.12426658,-0.6151564,-0.45619836,4.0
1.4776318,-1.4820691,0.0,2.2809803,-0.14135507,0.07617821,-0.072594315,0.5236525,-0.21440384,0.26304463,0.19359766,0.2530423,0.09024421,-0.14407448,0.31850487,-0.38418353,0.26413783,-0.6925468,-0.48738977,1.0
0.98705524,-0.9522874,0.0,-0.42656922,-0.23716167,-0.64667696,-0.13778402,-0.41793117,-0.1178865,-0.81704926,-0.8627961,-0.6449356,-0.7683532,0.44327128,-0.23572364,0.17000265,-0.7834848,1.146204,-0.36367404,6.0
-0.6036112,0.3477672,0.0,-0.36367324,8.572188,0.34385532,-0.026234472,0.7649222,-0.17313367,-0.578221,-0.7529608,-0.35966507,-0.52768207,-0.52841675,0.25051233,0.40409863,-0.43497178,0.9620248,-0.60656136,2.0
-0.13286111,0.10148506,0.0,2.3245084,-0.11836145,0.12612207,-0.11370837,-0.49890837,-0.123879075,0.72174686,0.5663491,0.69337136,0.6362089,-1.0658698,1.317048,-1.1522527,0.68615234,-0.5487367,-0.45506713,1.0
0.3028418,0.12740228,0.0,-0.31807968,-0.2555332,0.22635859,0.05145384,-0.58266515,-0.14720875,0.794152,0.9351312,0.7755779,0.80219275,-0.5600531,0.9878484,-1.2000241,0.96475667,-0.7746499,-0.4798373,1.0
-1.166837,-0.11548335,0.0,7.7673955,-0.11033645,-0.21322365,-0.010035365,0.34372157,-0.06502834,-0.632959,-0.47855592,-0.49780303,-0.6986581,1.5376309,-0.746185,-0.57384133,-0.64759,-0.3060583,0.08120098,0.0
-0.70941496,-1.2519284,0.0,-0.5016205,-0.11826598,-0.05515594,-0.035313286,-0.29740825,-0.1277676,-0.2889326,-0.23762095,-0.27457538,-0.294282,0.42756817,0.32314554,-0.96805286,-0.25287658,0.10090492,-0.35913378,0.0
