REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN,class
0.5997551,0.05772568,0.0,-0.43357608,-0.2643769,0.9806193,-0.14756235,-0.3784297,-0.17777124,-0.109619744,-0.03779378,0.0021021669,-0.16389693,0.1926685,0.14958127,-0.39307535,-0.17585115,-0.5969547,-0.3656814,1.0
-1.1386602,-0.97873926,0.0,-0.34111837,-0.28012043,0.14663574,-0.126362,-0.3215445,-0.13241793,-0.5429564,-0.38132903,-0.39173582,-0.44722763,0.7424671,0.079656005,-0.7245451,-0.3381198,0.10717973,-0.06513449,0.0
1.0995426,0.18597598,0.0,-0.43172002,-0.08725318,-0.70632356,-0.14321087,-0.49856514,-0.22730656,-0.8551156,-0.8993274,-0.8634391,-0.98219454,1.0422863,-0.9333598,0.47189552,-1.0811251,2.4511614,-0.4631843,6.0
0.9665165,-0.98574257,0.0,-0.4125642,-0.13215809,-0.5508006,-0.12963217,-0.45180038,-0.20478806,1.8589653,1.8753964,1.9113588,2.0556526,-2.4326081,1.7995242,-0.7054287,1.7889762,-0.6571278,-0.71649283,5.0
-0.032012526,1.1943116,0.0,-0.3170845,-0.24619558,-0.086547114,-0.153596,0.16226953,-0.031782303,0.23045735,0.26985857,0.39222997,0.32673135,-0.24236077,0.31069428,-0.848709,0.32552195,-0.6625118,-0.38527462,4.0
-1.2052861,-0.5975182,0.0,2.4340713,-0.20005892,-0.4499564,-0.032883577,-0.12073394,-0.26597485,-0.55007654,-0.61934066,-0.45834616,-0.60803014,-0.24970275,0.1489558,-0.40216336,-0.5803466,0.27171755,-0.46532047,6.0
0.812261,1.9980313,0.0,-0.30238485,-0.1381889,-0.19918576,-0.032885157,0.29133376,-0.035231203,-0.802702,-0.8454153,-0.90824974,-0.82703924,0.7679812,-1.3764704,1.1203575,-0.6367757,-0.20006353,2.3258293,3.0
-0.72695416,-1.0116563,0.0,2.4546816,-0.23178016,-0.44063902,-0.29377773,-0.21685098,-0.12834595,1.8737458,1.8739172,2.1017194,1.7062608,-1.5520865,1.2104208,-0.9638918,1.9219947,-1.0449107,-0.6732536,5.0
0.5390051,-0.041676678,0.0,-0.4407388,-0.18164915,-0.2793872,0.015492146,-0.3498076,-0.18267882,-0.08829723,-0.40458804,-0.09925295,-0.39349422,-0.4343331,0.5823457,-0.35130605,0.07009815,-0.04894958,-0.55150115,6.0
1.2926087,-1.640136,0.0,-0.3038241,-0.16713247,-0.14722005,-0.15027517,-0.47765824,-0.08313947,2.2280219,2.1932566,2.1373982,2.2929952,-1.8679366,1.5068997,-0.6123061,2.291685,-0.9861383,-0.5350956,5.0
0.77272063,-1.4330478,0.0,-0.34014696,-0.27975783,-0.45926547,-0.15861502,-0.61372447,-0.14116317,-0.6465772,-0.622582,-0.56348085,-0.6366184,0.4153753,-0.26088926,0.278154,-0.7214175,-0.12212755,-0.40684715,6.0
