left_weight,left_distance,right_weight,right_distance,class
1.1930509,-1.5420775,0.6644913,-0.37663093,2.0
-1.4448397,1.1241925,1.3431294,-0.6034609,2.0
0.6472821,0.021462768,1.1966583,-1.4068444,1.0
-0.6662857,-0.7252802,1.4787208,-0.11424037,2.0
1.4542551,-0.9103488,0.76093286,-0.85302496,1.0
0.68956274,-1.2323921,0.06342454,-1.4012239,1.0
-0.6690439,-0.72673255,-1.2175739,1.493013,2.0
1.6516012,-1.4612705,1.3783437,1.3561004,2.0
0.6785654,0.016468925,0.76229817,-0.83490884,1.0
-0.6556192,-0.9093505,-1.4641666,-0.80340767,1.0
1.433219,0.029126067,0.3764924,-0.32127917,1.0
-0.5923012,1.4061357,0.0827913,-0.19962132,1.0
0.07034798,1.3670706,1.2381968,-1.4046943,1.0
0.02249084,-0.72759676,0.6542394,1.3844427,2.0
0.10332897,0.018475017,-0.78780967,-0.73773015,1.0
-1.2575685,1.4572349,-1.3286473,1.3803347,0.0
1.4214616,1.280518,1.2137702,-1.3888484,1.0
-1.7808975,0.023908556,-1.4729139,-0.8187998,1.0
1.4214969,1.3801339,0.759676,-1.6159037,1.0
0.10286641,1.3985772,-0.8531098,1.0506322,1.0
0.104118146,1.2895578,-1.5123256,-0.013708755,1.0
1.2420536,-1.4752086,0.61973125,0.22645527,2.0
-0.5978707,0.65827215,-0.82185,-0.8499746,1.0
-0.6591668,-0.26336154,1.4146248,0.61497116,2.0
-0.6652921,-1.4728994,-0.13873342,1.3785715,2.0
-1.4327503,0.40641463,-0.15816985,-0.4594622,2.0
0.9359765,-0.7278007,-0.14709659,0.8355582,2.0
-0.9228947,1.3382214,0.6687452,1.3651707,2.0
-0.20680863,-0.72471523,1.3814923,0.21825224,2.0
-1.3888195,-0.042556558,1.3354088,1.3802356,2.0
-1.3959979,1.5946057,1.3383818,-1.3265232,0.0
-1.4547697,-1.4855487,1.3293356,-0.816321,2.0
