left_weight,left_distance,right_weight,right_distance,class
0.79287094,-1.4757345,1.2858291,-0.21095826,2.0
-0.03750931,-0.68061644,-0.080118656,0.5442226,2.0
-0.7431291,1.3830891,-0.8857398,-1.3235561,1.0
0.07845145,1.5111744,-0.100159496,-0.69018376,1.0
-1.4011612,-1.5602391,-0.8100122,-0.073271334,2.0
-1.409609,-0.08201051,-1.4970382,-0.08046612,0.0
-1.4560308,1.2921172,-1.4414603,-1.4864283,1.0
-0.8030522,-0.71395636,-0.74183774,0.6920015,2.0
1.5499533,-1.3157276,-0.9454566,1.1972383,2.0
-0.7889979,0.48738465,-1.4717548,1.3972175,1.0
1.4490979,0.5739883,-0.08502932,-0.7571418,1.0
-0.04844939,-0.598343,0.7412944,1.4662492,2.0
1.4559265,-1.443755,0.5789929,-0.24905843,2.0
1.4813606,-1.3089161,-0.11659604,-1.5389857,1.0
0.73594004,-0.08665186,-0.7452416,-0.8209125,1.0
-0.6332577,1.3861258,1.3047631,1.355848,2.0
1.5310258,-0.04117946,0.49842322,-1.32243,1.0
-0.65242237,1.3501356,0.6634541,1.3361454,2.0
0.4997782,0.4707779,1.4111867,-0.6277708,1.0
1.451462,0.7254762,0.5433403,-0.65076214,1.0
-0.9098783,1.1538572,0.5510533,-1.3327603,1.0
-0.70059377,0.7392928,1.4032942,0.5661462,2.0
1.3954839,0.67895573,1.4281197,-0.65876967,1.0
0.8409909,-0.77864057,1.3727789,1.4690472,2.0
0.6141091,1.4007041,-1.5275984,0.080697484,1.0
-0.21084988,-0.06156105,1.3445593,0.07355419,2.0
-1.3235829,-1.4477645,1.3821808,1.4806577,2.0
0.74276394,0.5178209,1.3912466,-1.3270785,1.0
0.74794346,0.12928899,0.6229291,1.3026507,2.0
-0.76428664,1.2579845,-1.4231479,0.7324611,1.0
-1.3974968,1.3459814,-0.14211951,-0.1447236,2.0
0.09947697,0.113065444,-0.18721743,1.2681038,2.0
0.78362143,-1.4636737,-0.9252683,1.3859369,2.0
0.76565075,-1.4691315,-0.29277202,1.255114,2.0
-0.021324283,1.2632215,-0.24039513,0.6095603,1.0
-1.3866824,-0.0130793685,0.51192623,-1.344129,2.0
-1.2344666,0.109017625,-0.8021737,-0.28309834,2.0
0.8892464,-1.3936527,-0.83361983,-1.3822756,1.0
-1.4593694,-1.452572,0.6297139,0.8113563,2.0
-0.75025535,0.7867174,-0.8652833,-1.3345422,1.0
-1.286603,0.74579,0.53479725,-0.9355304,2.0
0.23492034,1.3973036,0.47991577,1.4458731,2.0
-0.20403431,-1.4597918,-1.3729184,1.5824221,2.0
-0.7584112,0.751832,-1.2341913,-1.3230968,1.0
0.07209548,-1.5174341,0.47430903,-0.48303598,2.0
0.15427661,-0.737438,-0.1551894,-0.6857212,0.0
1.4329126,1.4040316,-0.1586679,-1.3808993,1.0
0.88173544,-0.8053776,-1.552233,-0.66633475,1.0
0.015994454,0.5763703,0.62892455,-0.036429282,0.0
0.8639674,0.022164484,-0.9222338,1.2708753,1.0
1.5365572,-0.8567292,0.6200724,0.63136685,2.0
-0.028528947,0.632462,0.08426538,0.087858215,1.0
0.033405915,-0.82370234,1.4420571,1.4366183,2.0
0.5667274,0.021008156,1.3944904,0.027304424,2.0
-1.442171,-0.6988095,1.4004668,-0.14328912,2.0
1.416601,1.2747195,1.3620961,-1.3607454,1.0
-1.3762392,-0.4883428,-0.851108,-0.81578463,2.0
-1.2576425,-0.75123274,-1.4432421,1.1923155,2.0
-0.67619413,1.4169265,-1.3945343,-0.9248083,1.0
-0.051883582,1.3057086,-1.5471512,1.4733082,1.0
-1.5245719,1.3581754,1.4221271,1.3819449,2.0
-0.06761984,-1.470217,-1.2055601,-1.2607064,1.0
-1.4432688,-0.7674322,-1.5405775,-0.18291272,2.0
0.7755633,0.044066995,0.5440871,0.67459625,2.0
0.75580716,-0.6336728,-0.14251196,-0.8742651,1.0
0.8820785,0.021519229,-0.69369227,0.0007194395,1.0
1.5020546,-1.0650405,-1.590501,0.587119,1.0
0.81020653,-1.4613751,1.3583446,1.3424971,2.0
-0.7582814,-0.22541533,0.17351156,-1.331013,1.0
-0.58196586,-0.11553382,1.3649989,0.52617836,2.0
1.4256773,-1.4911636,-0.70808566,-1.4224815,1.0
0.77040076,-0.2100196,-0.035725605,-0.8933667,1.0
0.04795975,-0.64809066,0.46285576,0.50761193,2.0
0.76528347,0.60619676,0.64747787,-0.7335946,1.0
-0.6553166,1.3392884,0.7988568,-0.8367337,1.0
0.025548121,0.6104204,-0.9169518,1.344414,1.0
-0.064559914,1.3567542,-0.028667418,0.06415013,1.0
-0.15637776,1.3214445,1.431761,0.758241,2.0
-0.73960435,1.3537837,-0.80319184,1.3183929,0.0
1.5362493,0.6088129,-0.7732675,0.5452145,1.0
-0.7408288,0.0442133,-0.13050045,-0.72241914,0.0
-0.8383944,1.3893907,-1.2976431,-1.3191447,1.0
0.17679465,-0.91968846,-0.78227603,-1.3590056,1.0
1.4832984,-0.5678357,-0.2603743,-0.16719455,1.0
1.5814009,1.2944127,-0.7875008,-0.69356173,1.0
-1.4075398,0.7044024,1.2954513,-1.3161612,2.0
1.4220729,0.034409124,-0.07990488,1.2984697,0.0
0.5926404,-0.73863894,-1.4174598,1.3390146,1.0
-1.4003289,1.4270557,1.3858241,-0.737677,2.0
-1.427817,0.017572872,0.7556859,0.11456897,2.0
1.5010813,0.07017097,-0.74625254,-1.411498,1.0
0.084108554,0.6553764,0.52191824,0.6324578,2.0
0.595325,0.54678136,-0.7201014,0.81553507,1.0
0.77338284,-0.14497949,0.63170046,-0.8955334,1.0
-1.3919637,0.7158939,1.4205173,0.57400376,2.0
-0.64900583,0.75369513,0.6849221,1.4274213,2.0
1.3939245,-0.035117555,-0.71938014,0.7741521,1.0
-0.5201072,-1.4735478,0.025588078,1.2423618,2.0
0.6058613,-0.7326395,0.56601304,0.70591915,2.0
1.4078039,1.3899497,-0.82779074,0.029472632,1.0
-1.4281152,-0.673992,1.2932829,-0.6883977,2.0
-0.5811431,-0.09657265,0.8363007,-1.442455,1.0
-1.4396425,1.4550506,-1.4753647,-0.48653102,1.0
1.4467143,-1.2608889,-1.5618526,-0.029388461,1.0
-1.5161223,0.7727243,1.4373982,0.026175898,2.0
0.08508082,-0.0034630997,-0.66301936,-0.63418,1.0
-0.5456282,-1.444588,-0.046123397,-0.65036196,2.0
0.7719137,1.4352108,-0.76501024,-0.78766435,1.0
-0.17047682,0.71872723,1.3451478,0.86686724,2.0
1.3397598,-0.22399276,-0.8386807,1.3795656,1.0
-0.55889773,-1.3818873,-0.9338629,-0.8857696,2.0
0.8686365,-1.3564138,-1.5586364,0.56090266,0.0
-1.4252839,1.2071539,0.15337986,-1.3205662,1.0
1.3718243,-0.8329103,-1.5633008,-0.764337,1.0
0.7739218,-0.14787121,1.2859257,0.727294,2.0
0.7036503,-0.25582746,-0.75065684,0.8746292,1.0
0.043967113,-1.4678324,-0.90617865,1.4380449,2.0
-1.4356321,-1.4467813,0.028164256,1.4151825,2.0
-0.06955374,1.2075565,1.425011,-1.6382289,1.0
-1.4471444,-1.4995962,0.7103345,0.063964725,2.0
-1.424653,-0.58086944,-0.06849087,-0.64902866,2.0
0.6805109,0.6714488,0.60021895,0.71093136,0.0
-0.74331844,-0.7303452,-0.765903,-0.7723363,0.0
-1.4349656,-0.64595854,1.312925,0.46045738,2.0
-0.57251966,-0.10809459,0.46196127,1.5016153,2.0
-0.646608,0.6886015,0.5733268,0.5937721,2.0
1.5055336,1.3673631,-0.037304875,1.286129,1.0
0.63541937,1.3072879,1.3585608,0.6211819,0.0
